1	100	12.9
2	98	12.88
3	96	12.8
4	92	12.78
5	90	12.75
6	88	12.7
7	86	12.69
8	84	12.68
9	82	12.67
10	80	12.66
11	78	12.64
12	76	12.63
13	74	12.61
14	72	12.58
15	70	12.54
16	68	12.52
17	66	12.5
18	64	12.45
19	62	12.44
20	60	12.42
21	58	12.41
22	56	12.39
23	54	12.36
24	52	12.34
25	50	12.3
26	48	12.89
27	46	12.28
28	44	12.22
29	42	12.16
30	40	12.12
31	38	12.1
32	36	12.07
33	34	12.01
34	32	11.95
35	30	11.94
36	28	11.89
37	26	11.81
38	24	11.79
39	22	11.75
40	20	11.7
41	18	11.62
42	16	11.58
43	14	11.51
44	12	11.48
45	10	11.46
46	8	11.23
47	6	10.99
48	4	10.78
49	2	10.62
50	0	10.5
